Date,ID,Date,FCO2 µmol m-2 s-1,FCO2 uncertainty µmol m-2 s-1,PAR µmol m-2 s-1,PAR StD µmol m-2 s-1,AirT,Timestamp_rounded,AirRH,PAR,SW_in,SW_out,LW_in,LW_out,NR01_T,Rain_Tot,WS_ms_S_WVT,WindDir_D1_WVT
2018-01-23 19:23:28,AST1P1,23-Jan-2018 19:23:28,-9.2272,1.4821,457.5705,37.516,9.57,2018-01-23 19:30:00,61.35,827.0,373.6084,75.5403,344.2315,360.7026,9.3961,0.0,4.188,252.5
2018-03-07 16:59:17,AST1P1,07-Mar-2018 16:59:17,-6.457,0.94889,1035.4533,18.9374,13.93,2018-03-07 17:00:00,41.61,1647.0,718.5799,151.9329,293.5866,402.7068,15.4464,0.0,4.168,255.6
2018-03-07 17:04:04,AST1P1,07-Mar-2018 17:04:04,-5.9518,0.86008,1083.4106,27.3755,13.93,2018-03-07 17:00:00,41.61,1647.0,718.5799,151.9329,293.5866,402.7068,15.4464,0.0,4.168,255.6
2018-03-07 17:08:59,AST1P1,07-Mar-2018 17:08:59,-6.2376,0.9124,1038.3606,52.7387,13.93,2018-03-07 17:00:00,41.61,1647.0,718.5799,151.9329,293.5866,402.7068,15.4464,0.0,4.168,255.6
2018-03-07 17:16:26,AST1P1,07-Mar-2018 17:16:26,-6.6604,0.98303,1068.9876,22.8582,13.85,2018-03-07 17:30:00,45.08,1634.0,714.306,150.6247,293.2086,402.1044,15.275,0.0,4.608,264.6
2018-03-07 17:21:11,AST1P1,07-Mar-2018 17:21:11,-6.6363,0.97907,1049.6802,21.8869,13.85,2018-03-07 17:30:00,45.08,1634.0,714.306,150.6247,293.2086,402.1044,15.275,0.0,4.608,264.6
2018-03-07 17:27:04,AST1P1,07-Mar-2018 17:27:04,-7.154,1.0922,1064.8156,19.5595,13.85,2018-03-07 17:30:00,45.08,1634.0,714.306,150.6247,293.2086,402.1044,15.275,0.0,4.608,264.6
2018-03-07 17:31:59,AST1P1,07-Mar-2018 17:31:59,-6.0682,0.88262,1057.9113,27.1517,13.85,2018-03-07 17:30:00,45.08,1634.0,714.306,150.6247,293.2086,402.1044,15.275,0.0,4.608,264.6
2018-03-07 17:37:25,AST1P1,07-Mar-2018 17:37:25,3.7043,0.55627,0.0,0.0,13.85,2018-03-07 17:30:00,45.08,1634.0,714.306,150.6247,293.2086,402.1044,15.275,0.0,4.608,264.6
2018-03-07 17:42:10,AST1P1,07-Mar-2018 17:42:10,4.5313,0.66091,2.6709,5.5181,13.85,2018-03-07 17:30:00,45.08,1634.0,714.306,150.6247,293.2086,402.1044,15.275,0.0,4.608,264.6
2018-03-07 17:51:02,AST1P1,07-Mar-2018 17:51:02,-7.6,1.131,1022.371,16.1386,13.91,2018-03-07 18:00:00,45.56,1587.0,695.3019,146.4005,292.8372,400.4524,15.2333,0.0,4.866,262.1
2018-03-07 17:54:56,AST1P1,07-Mar-2018 17:54:56,-7.9079,1.1952,989.0114,64.5588,13.91,2018-03-07 18:00:00,45.56,1587.0,695.3019,146.4005,292.8372,400.4524,15.2333,0.0,4.866,262.1
2018-11-29 17:18:50,AST1P1,29-Nov-2018 17:18:50,0.36044,0.078016,105.0062,33.382,12.11,2018-11-29 17:30:00,71.45,340.9,143.3876,22.53725,357.8509,387.8088,13.15819,0.0,2.785,208.4
2018-11-29 17:13:59,AST1P1,29-Nov-2018 17:13:59,-0.34039,0.089702,119.0477,37.4215,14.83,2018-11-29 17:00:00,57.34,891.0,391.7599,67.53268,353.5254,404.6953,15.65709,0.0,3.837,275.1
2018-11-29 17:08:59,AST1P1,29-Nov-2018 17:08:59,4.409,0.7267,1.2719,3.1155,14.83,2018-11-29 17:00:00,57.34,891.0,391.7599,67.53268,353.5254,404.6953,15.65709,0.0,3.837,275.1
2018-03-07 16:52:58,AST1P1,07-Mar-2018 16:52:58,-5.4496,0.83589,1089.7443,48.6777,13.93,2018-03-07 17:00:00,41.61,1647.0,718.5799,151.9329,293.5866,402.7068,15.4464,0.0,4.168,255.6
2018-11-29 17:03:26,AST1P1,29-Nov-2018 17:03:26,3.1723,0.47115,2.4655,6.4915,14.83,2018-11-29 17:00:00,57.34,891.0,391.7599,67.53268,353.5254,404.6953,15.65709,0.0,3.837,275.1
2018-07-16 17:46:13,AST1P1,16-Jul-2018 17:46:13,-1.2434,0.29704,369.1351,59.8064,0.333,2018-07-16 18:00:00,68.99,478.6,227.4747,71.99338,266.3188,314.1819,1.055018,0.0,3.265,314.4
2018-07-16 17:39:12,AST1P1,16-Jul-2018 17:39:12,0.056283,0.051269,15.6865,21.8169,0.219,2018-07-16 17:30:00,69.99,493.9,224.8316,74.76592,232.7532,311.8328,0.8674167,0.0,4.13,318.3
2018-07-16 17:34:34,AST1P1,16-Jul-2018 17:34:34,0.40295,0.074545,12.4181,22.6149,0.219,2018-07-16 17:30:00,69.99,493.9,224.8316,74.76592,232.7532,311.8328,0.8674167,0.0,4.13,318.3
2018-07-16 17:28:30,AST1P1,16-Jul-2018 17:28:30,0.45917,0.07217,12.2593,15.9904,0.219,2018-07-16 17:30:00,69.99,493.9,224.8316,74.76592,232.7532,311.8328,0.8674167,0.0,4.13,318.3
2018-07-16 17:23:43,AST1P1,16-Jul-2018 17:23:43,-1.3647,0.3385,216.0601,39.3405,0.219,2018-07-16 17:30:00,69.99,493.9,224.8316,74.76592,232.7532,311.8328,0.8674167,0.0,4.13,318.3
2018-07-16 17:17:26,AST1P1,16-Jul-2018 17:17:26,-0.68639,0.17591,198.4128,54.5237,0.219,2018-07-16 17:30:00,69.99,493.9,224.8316,74.76592,232.7532,311.8328,0.8674167,0.0,4.13,318.3
2018-07-16 17:12:05,AST1P1,16-Jul-2018 17:12:05,-1.2545,0.26469,242.4561,34.6634,0.287,2018-07-16 17:00:00,71.84,366.3,159.6776,52.76842,243.8527,311.9936,0.566419,0.0,3.127,296.3
